0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2016-4-13
1020
001
DataNumber:	4830
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.3020	  0.0020	   0.002	   0.195
    1	  0.3280	  0.0020	   0.006	   0.395
    2	  0.3460	  0.0020	   0.009	   0.595
    3	  0.3640	  0.0040	   0.012	   0.795
    4	  0.3800	  0.0040	   0.016	   0.995
    5	  0.3980	  0.0040	   0.020	   1.195
    6	  0.4140	  0.0040	   0.022	   1.395
    7	  0.4300	  0.0040	   0.026	   1.595
    8	  0.4440	  0.0060	   0.030	   1.795
    9	  0.4600	  0.0060	   0.032	   1.995
   10	  0.4740	  0.0060	   0.035	   2.195
   11	  0.4880	  0.0060	   0.039	   2.395
   12	  0.5020	  0.0080	   0.041	   2.595
   13	  0.5180	  0.0080	   0.045	   2.795
   14	  0.5320	  0.0080	   0.047	   2.995
   15	  0.5460	  0.0080	   0.051	   3.195
   16	  0.5620	  0.0080	   0.055	   3.395
   17	  0.5760	  0.0080	   0.057	   3.595
   18	  0.5920	  0.0080	   0.061	   3.795
   19	  0.6060	  0.0100	   0.065	   3.995
   20	  0.6220	  0.0100	   0.067	   4.195
   21	  0.6360	  0.0100	   0.071	   4.395
   22	  0.6520	  0.0100	   0.074	   4.595
   23	  0.6680	  0.0120	   0.078	   4.795
   24	  0.6820	  0.0120	   0.080	   4.995
   25	  0.7000	  0.0120	   0.084	   5.195
   26	  0.7160	  0.0120	   0.087	   5.395
   27	  0.7320	  0.0120	   0.090	   5.595
   28	  0.7500	  0.0140	   0.094	   5.795
   29	  0.7700	  0.0140	   0.097	   5.995
   30	  0.7900	  0.0140	   0.100	   6.195
   31	  0.8140	  0.0140	   0.104	   6.395
   32	  0.8380	  0.0140	   0.106	   6.595
   33	  0.8580	  0.0140	   0.110	   6.795
   34	  0.8820	  0.0140	   0.114	   6.995
   35	  0.9060	  0.0140	   0.116	   7.195
   36	  0.9280	  0.0140	   0.120	   7.395
   37	  0.9520	  0.0140	   0.124	   7.595
   38	  0.9760	  0.0160	   0.126	   7.795
   39	  0.9980	  0.0160	   0.130	   7.995
   40	  1.0220	  0.0160	   0.132	   8.195
   41	  1.0460	  0.0160	   0.136	   8.395
   42	  1.0740	  0.0160	   0.140	   8.595
   43	  1.0980	  0.0160	   0.142	   8.795
   44	  1.1260	  0.0160	   0.146	   8.995
   45	  1.1520	  0.0160	   0.149	   9.195
   46	  1.1800	  0.0180	   0.153	   9.395
   47	  1.2080	  0.0180	   0.156	   9.595
   48	  1.2340	  0.0180	   0.159	   9.795
   49	  1.2620	  0.0180	   0.162	   9.995
   50	  1.2900	  0.0180	   0.166	  10.195
