0
Diameter:	   5.88
   1.00
Area:	  27.1547
GaugeLength:	  50.00
2016-3-28
Aco 1020
1
DataNumber:	2093
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0240	  0.0000	   0.004	   0.195
    1	  0.0240	  0.0000	   0.006	   0.395
    2	  0.0260	  0.0000	   0.010	   0.595
    3	  0.0280	  0.0000	   0.014	   0.795
    4	  0.0280	  0.0000	   0.016	   0.995
    5	  0.0300	  0.0000	   0.020	   1.195
    6	  0.0300	  0.0000	   0.024	   1.395
    7	  0.0300	  0.0000	   0.026	   1.595
    8	  0.0320	  0.0020	   0.030	   1.795
    9	  0.0320	  0.0000	   0.034	   1.995
   10	  0.0320	  0.0000	   0.037	   2.195
   11	  0.0320	  0.0020	   0.040	   2.395
   12	  0.0320	  0.0000	   0.044	   2.595
   13	  0.0320	  0.0020	   0.047	   2.795
   14	  0.0320	  0.0020	   0.050	   2.995
   15	  0.0340	  0.0020	   0.054	   3.195
   16	  0.0340	  0.0020	   0.056	   3.395
   17	  0.0340	  0.0020	   0.060	   3.595
   18	  0.0340	  0.0020	   0.064	   3.795
   19	  0.0360	  0.0020	   0.066	   3.995
   20	  0.0400	  0.0020	   0.070	   4.195
   21	  0.0460	  0.0020	   0.074	   4.395
   22	  0.0500	  0.0020	   0.076	   4.595
   23	  0.0540	  0.0020	   0.080	   4.795
   24	  0.0560	  0.0020	   0.084	   4.995
   25	  0.0620	  0.0020	   0.086	   5.195
   26	  0.0660	  0.0020	   0.090	   5.395
   27	  0.0700	  0.0020	   0.094	   5.595
   28	  0.0760	  0.0020	   0.096	   5.795
   29	  0.0800	  0.0020	   0.100	   5.995
   30	  0.0840	  0.0020	   0.102	   6.195
   31	  0.0900	  0.0040	   0.106	   6.395
   32	  0.0940	  0.0040	   0.110	   6.595
   33	  0.0960	  0.0040	   0.112	   6.795
   34	  0.0960	  0.0040	   0.116	   6.995
   35	  0.0960	  0.0040	   0.120	   7.195
   36	  0.0960	  0.0040	   0.122	   7.395
   37	  0.0980	  0.0040	   0.126	   7.595
   38	  0.0980	  0.0040	   0.130	   7.795
   39	  0.0980	  0.0040	   0.132	   7.995
   40	  0.1000	  0.0040	   0.136	   8.195
   41	  0.1000	  0.0040	   0.140	   8.395
   42	  0.1020	  0.0040	   0.142	   8.595
   43	  0.1020	  0.0040	   0.146	   8.795
   44	  0.1020	  0.0040	   0.150	   8.995
   45	  0.1020	  0.0040	   0.153	   9.195
   46	  0.1040	  0.0040	   0.156	   9.395
   47	  0.1040	  0.0040	   0.159	   9.595
   48	  0.1040	  0.0040	   0.162	   9.795
   49	  0.1060	  0.0040	   0.166	   9.995
   50	  0.1060	  0.0040	   0.169	  10.195
   51	  0.1100	  0.0040	   0.172	  10.395
   52	  0.1140	  0.0040	   0.176	  10.595
   53	  0.1200	  0.0040	   0.179	  10.795
   54	  0.1240	  0.0040	   0.182	  10.995
   55	  0.1280	  0.0040	   0.185	  11.195
   56	  0.1320	  0.0040	   0.189	  11.395
   57	  0.1380	  0.0060	   0.191	  11.595
   58	  0.1400	  0.0060	   0.195	  11.795
   59	  0.1440	  0.0060	   0.199	  11.995
   60	  0.1480	  0.0060	   0.201	  12.195
   61	  0.1520	  0.0060	   0.205	  12.395
   62	  0.1600	  0.0060	   0.209	  12.595
   63	  0.1660	  0.0060	   0.211	  12.795
   64	  0.1740	  0.0060	   0.215	  12.995
   65	  0.1820	  0.0080	   0.218	  13.195
   66	  0.1900	  0.0080	   0.221	  13.395
   67	  0.1980	  0.0080	   0.225	  13.595
   68	  0.2060	  0.0080	   0.227	  13.795
   69	  0.2120	  0.0080	   0.231	  13.995
   70	  0.2200	  0.0080	   0.235	  14.195
   71	  0.2300	  0.0100	   0.237	  14.395
   72	  0.2360	  0.0100	   0.241	  14.595
   73	  0.2440	  0.0100	   0.244	  14.795
   74	  0.2520	  0.0100	   0.247	  14.995
   75	  0.2620	  0.0100	   0.250	  15.195
   76	  0.2700	  0.0100	   0.254	  15.395
   77	  0.2780	  0.0100	   0.257	  15.595
   78	  0.2860	  0.0120	   0.260	  15.795
   79	  0.2960	  0.0120	   0.264	  15.995
   80	  0.3060	  0.0120	   0.266	  16.195
   81	  0.3160	  0.0120	   0.270	  16.395
   82	  0.3260	  0.0120	   0.274	  16.595
   83	  0.3340	  0.0120	   0.276	  16.795
   84	  0.3440	  0.0120	   0.280	  16.995
   85	  0.3520	  0.0140	   0.282	  17.195
   86	  0.3620	  0.0140	   0.286	  17.395
   87	  0.3740	  0.0140	   0.290	  17.595
   88	  0.3840	  0.0140	   0.292	  17.795
   89	  0.3960	  0.0100	   0.296	  17.995
   90	  0.4080	  0.0120	   0.300	  18.195
   91	  0.4200	  0.0120	   0.302	  18.395
   92	  0.4340	  0.0120	   0.306	  18.595
   93	  0.4480	  0.0120	   0.309	  18.795
   94	  0.4620	  0.0140	   0.312	  18.995
   95	  0.4780	  0.0140	   0.316	  19.195
   96	  0.4940	  0.0140	   0.319	  19.395
   97	  0.5120	  0.0140	   0.322	  19.595
   98	  0.5280	  0.0140	   0.326	  19.795
   99	  0.5460	  0.0140	   0.329	  19.995
  100	  0.5640	  0.0160	   0.332	  20.195
  101	  0.5820	  0.0160	   0.335	  20.395
  102	  0.6020	  0.0160	   0.339	  20.595
  103	  0.6220	  0.0160	   0.343	  20.795
  104	  0.6400	  0.0180	   0.345	  20.995
  105	  0.6600	  0.0180	   0.349	  21.195
  106	  0.6800	  0.0180	   0.351	  21.395
  107	  0.7000	  0.0180	   0.355	  21.595
  108	  0.7200	  0.0180	   0.359	  21.795
  109	  0.7420	  0.0200	   0.361	  21.995
  110	  0.7620	  0.0200	   0.365	  22.195
  111	  0.7840	  0.0200	   0.369	  22.395
  112	  0.8040	  0.0200	   0.371	  22.595
  113	  0.8260	  0.0220	   0.375	  22.795
  114	  0.8480	  0.0220	   0.377	  22.995
  115	  0.8680	  0.0220	   0.381	  23.195
  116	  0.8900	  0.0220	   0.385	  23.395
  117	  0.9120	  0.0220	   0.387	  23.595
  118	  0.9340	  0.0220	   0.391	  23.795
  119	  0.9580	  0.0240	   0.395	  23.995
  120	  0.9800	  0.0240	   0.397	  24.195
  121	  1.0020	  0.0240	   0.401	  24.395
  122	  1.0260	  0.0240	   0.405	  24.595
  123	  1.0500	  0.0260	   0.407	  24.795
  124	  1.0760	  0.0260	   0.411	  24.995
  125	  1.1000	  0.0260	   0.414	  25.195
  126	  1.1280	  0.0260	   0.417	  25.395
  127	  1.1540	  0.0260	   0.421	  25.595
  128	  1.1840	  0.0260	   0.424	  25.795
  129	  1.2120	  0.0280	   0.427	  25.995
  130	  1.2400	  0.0280	   0.431	  26.195
  131	  1.2680	  0.0280	   0.434	  26.395
  132	  1.2960	  0.0280	   0.438	  26.595
  133	  1.3240	  0.0300	   0.441	  26.795
  134	  1.3540	  0.0300	   0.444	  26.995
  135	  1.3820	  0.0300	   0.447	  27.195
  136	  1.4100	  0.0300	   0.450	  27.395
  137	  1.4380	  0.0300	   0.454	  27.595
  138	  1.4660	  0.0300	   0.457	  27.795
  139	  1.4940	  0.0320	   0.460	  27.995
  140	  1.5240	  0.0320	   0.464	  28.195
  141	  1.5540	  0.0320	   0.468	  28.395
  142	  1.5840	  0.0320	   0.470	  28.595
  143	  1.6160	  0.0320	   0.474	  28.795
  144	  1.6460	  0.0320	   0.476	  28.995
  145	  1.6760	  0.0320	   0.480	  29.195
  146	  1.7060	  0.0340	   0.484	  29.395
  147	  1.7360	  0.0340	   0.486	  29.595
  148	  1.7660	  0.0340	   0.490	  29.795
  149	  1.7980	  0.0340	   0.494	  29.995
  150	  1.8300	  0.0340	   0.496	  30.195
  151	  1.8600	  0.0340	   0.500	  30.395
  152	  1.8900	  0.0360	   0.502	  30.595
  153	  1.9240	  0.0360	   0.506	  30.795
  154	  1.9540	  0.0360	   0.510	  30.995
  155	  1.9860	  0.0360	   0.512	  31.195
  156	  2.0180	  0.0360	   0.516	  31.395
  157	  2.0480	  0.0360	   0.520	  31.595
  158	  2.0800	  0.0360	   0.522	  31.795
  159	  2.1120	  0.0380	   0.526	  31.995
  160	  2.1440	  0.0380	   0.529	  32.195
  161	  2.1780	  0.0380	   0.532	  32.395
  162	  2.2080	  0.0380	   0.536	  32.595
  163	  2.2400	  0.0380	   0.539	  32.795
  164	  2.2740	  0.0380	   0.542	  32.995
  165	  2.3040	  0.0400	   0.546	  33.195
  166	  2.3360	  0.0400	   0.549	  33.395
  167	  2.3660	  0.0400	   0.553	  33.595
  168	  2.3980	  0.0400	   0.555	  33.795
  169	  2.4280	  0.0400	   0.559	  33.995
  170	  2.4600	  0.0400	   0.562	  34.195
  171	  2.4900	  0.0420	   0.565	  34.395
  172	  2.5220	  0.0420	   0.569	  34.595
  173	  2.5540	  0.0420	   0.572	  34.795
  174	  2.5860	  0.0420	   0.575	  34.995
  175	  2.6160	  0.0420	   0.579	  35.195
  176	  2.6460	  0.0420	   0.582	  35.395
  177	  2.6780	  0.0420	   0.585	  35.595
  178	  2.7100	  0.0440	   0.589	  35.795
  179	  2.7400	  0.0440	   0.591	  35.995
  180	  2.7720	  0.0440	   0.595	  36.195
  181	  2.8020	  0.0440	   0.599	  36.395
  182	  2.8340	  0.0440	   0.601	  36.595
  183	  2.8660	  0.0440	   0.605	  36.795
  184	  2.8960	  0.0440	   0.609	  36.995
  185	  2.9260	  0.0440	   0.611	  37.195
  186	  2.9580	  0.0460	   0.615	  37.395
  187	  2.9880	  0.0460	   0.619	  37.595
  188	  3.0200	  0.0460	   0.621	  37.795
  189	  3.0500	  0.0460	   0.625	  37.995
  190	  3.0800	  0.0460	   0.629	  38.195
  191	  3.1100	  0.0460	   0.632	  38.395
  192	  3.1420	  0.0480	   0.635	  38.595
  193	  3.1720	  0.0480	   0.639	  38.795
  194	  3.2020	  0.0480	   0.642	  38.995
  195	  3.2320	  0.0480	   0.645	  39.195
  196	  3.2640	  0.0480	   0.649	  39.395
  197	  3.2940	  0.0480	   0.651	  39.595
  198	  3.3240	  0.0480	   0.652	  39.795
  199	  3.3540	  0.0500	   0.656	  39.995
  200	  3.3860	  0.0500	   0.660	  40.195
  201	  3.4160	  0.0500	   0.664	  40.395
  202	  3.4460	  0.0500	   0.666	  40.595
  203	  3.4760	  0.0500	   0.670	  40.795
  204	  3.5080	  0.0500	   0.674	  40.995
  205	  3.5380	  0.0500	   0.678	  41.195
  206	  3.5680	  0.0500	   0.680	  41.395
  207	  3.5980	  0.0520	   0.684	  41.595
  208	  3.6280	  0.0520	   0.688	  41.795
  209	  3.6580	  0.0520	   0.691	  41.995
  210	  3.6880	  0.0520	   0.694	  42.195
  211	  3.7180	  0.0520	   0.697	  42.395
  212	  3.7480	  0.0520	   0.701	  42.595
  213	  3.7780	  0.0520	   0.704	  42.795
  214	  3.8080	  0.0520	   0.707	  42.995
  215	  3.8380	  0.0540	   0.711	  43.195
  216	  3.8660	  0.0540	   0.715	  43.395
  217	  3.8960	  0.0540	   0.717	  43.595
  218	  3.9240	  0.0540	   0.721	  43.795
  219	  3.9540	  0.0540	   0.725	  43.995
  220	  3.9840	  0.0560	   0.729	  44.195
  221	  4.0140	  0.0560	   0.731	  44.395
  222	  4.0440	  0.0560	   0.735	  44.595
  223	  4.0740	  0.0560	   0.739	  44.795
  224	  4.1040	  0.0560	   0.741	  44.995
  225	  4.1320	  0.0560	   0.745	  45.195
  226	  4.1620	  0.0560	   0.749	  45.395
  227	  4.1900	  0.0580	   0.752	  45.595
  228	  4.2200	  0.0580	   0.755	  45.795
  229	  4.2480	  0.0580	   0.759	  45.995
  230	  4.2780	  0.0580	   0.762	  46.195
  231	  4.3080	  0.0580	   0.765	  46.395
  232	  4.3360	  0.0580	   0.769	  46.595
  233	  4.3660	  0.0580	   0.772	  46.795
  234	  4.3940	  0.0580	   0.776	  46.995
  235	  4.4240	  0.0600	   0.779	  47.195
  236	  4.4520	  0.0600	   0.782	  47.395
  237	  4.4780	  0.0600	   0.786	  47.595
  238	  4.5080	  0.0600	   0.789	  47.795
  239	  4.5360	  0.0600	   0.792	  47.995
  240	  4.5620	  0.0600	   0.796	  48.195
  241	  4.5920	  0.0600	   0.799	  48.395
  242	  4.6200	  0.0600	   0.803	  48.595
  243	  4.6480	  0.0620	   0.806	  48.795
  244	  4.6760	  0.0620	   0.810	  48.995
  245	  4.7040	  0.0620	   0.812	  49.195
  246	  4.7320	  0.0620	   0.816	  49.395
  247	  4.7580	  0.0620	   0.820	  49.595
  248	  4.7860	  0.0620	   0.824	  49.795
  249	  4.8120	  0.0640	   0.826	  49.995
  250	  4.8400	  0.0620	   0.830	  50.195
  251	  4.8660	  0.0640	   0.834	  50.395
  252	  4.8940	  0.0640	   0.837	  50.595
  253	  4.9200	  0.0640	   0.840	  50.795
  254	  4.9480	  0.0640	   0.844	  50.995
  255	  4.9740	  0.0640	   0.847	  51.195
